date_utc,Open_price,High_price,Low_price,Close_price,Volume,Quote_volume,Nb_trades,Taker_buy_base_volume,Taker_buy_quote_volume,evolution_prct,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,RSI,EMA_14,MACD,MACD_Signal
2017-09-25,3660.02,3979.87,3653.69,3920.75,727.994713,2784170.85318322,9740,298.839159,1144089.17964881,7.123731564308389,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48.73968223787526,3848.7616563465035,-142.96693574022993,-146.28701229101986
2017-09-26,3928.0,3976.99,3850.05,3882.35,526.727987,2061195.57868009,7971,225.570283,883925.0185633,-0.9794044506790778,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47.90992323182332,3853.24010216697,-127.87406852595586,-142.60442353800707
2017-09-27,3882.36,4249.94,3872.81,4193.0,628.170966,2554629.81447101,8373,348.083641,1418522.03112125,8.001596970906789,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,54.63793732716007,3898.5414218780406,-89.810721636984,-132.04568315780244
2017-09-28,4192.11,4300.0,4101.0,4174.5,849.785325,3553178.87037354,11426,364.517452,1525467.35780567,-0.44121154304793686,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,54.18905908069068,3935.3358989609687,-60.44131057996083,-117.72480864223412
2017-09-29,4178.98,4263.86,3952.01,4174.69,1602.309565,6571746.35900076,14834,660.408235,2706153.81551434,0.0045514432866156085,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,54.19322135377463,3967.249779099506,-36.727141682520596,-101.52527525029141
2017-09-30,4175.0,4380.0,4138.1,4378.51,720.353183,3088354.40084536,9324,292.966693,1258540.22252994,4.882278684165775,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,58.54454080809203,4022.084475219572,-1.469976401819622,-81.51421548059707
2017-10-01,4378.49,4406.52,4240.04,4378.48,726.963685,3137143.89184457,9816,291.975904,1263465.86667018,-0.0006851645879657475,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,58.543659292044566,4069.603878523629,26.167517495046923,-59.97786888546827
2017-10-02,4400.0,4561.63,4360.0,4380.0,655.756974,2905282.77570845,8185,289.541406,1286786.89051625,0.03471524364619949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,58.5776911091292,4110.990028053812,47.64387291287676,-38.45352052579926
2017-10-03,4380.0,4467.33,4180.8,4310.0,1082.323563,4627422.74283879,12379,492.735181,2107462.11039911,-1.5981735159817378,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,56.2861134958839,4137.524690979971,58.343081597354285,-19.094200101168553
2017-10-04,4314.9,4373.0,4142.0,4208.59,868.465101,3676415.10054891,11006,292.928777,1237552.36930596,-2.352900232018562,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,53.04837455449202,4147.000065515975,57.971087471547435,-3.6811425866253558
2017-10-05,4208.59,4355.0,4110.0,4292.43,779.138638,3295532.82397779,9158,351.042019,1483036.83360606,1.9921161244027097,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55.33584182993051,4166.390723447178,63.707091077008045,9.796504146101324
2017-10-06,4318.99,4417.0,4292.0,4369.0,506.529176,2212035.12414239,6546,226.148177,988106.60264063,1.7838380590947223,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,57.37818294003371,4193.405293654221,73.58325240804425,22.55385379848991
2017-10-07,4369.0,4479.5,4312.56,4423.0,297.5975,1302533.21459281,4804,145.313076,637146.85809303,1.2359807736324058,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,58.80870439195925,4224.017921166992,84.79012236930521,35.00110751265297
2017-10-08,4425.0,4658.0,4425.0,4640.0,518.462004,2347356.46944654,7580,280.094854,1268660.82999198,4.906172281257071,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,64.0328901707329,4279.482198344726,109.91470570226738,49.983827150575856
2017-10-09,4640.0,4889.98,4550.0,4786.95,646.463145,3040508.90436387,10372,350.756559,1654274.63749423,3.1670258620689618,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,67.0779419161255,4347.144571898763,140.06912619729792,68.00088695992028
2017-10-10,4786.95,4960.0,4680.59,4783.06,1043.221773,5044283.86347582,11967,678.832674,3289613.76073974,-0.08126259935865576,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,66.91643666892281,4405.266628978929,161.78784167121285,86.7582779021788
2017-10-11,4783.06,4881.61,4710.0,4821.43,753.429396,3609240.90903919,5895,540.087975,2586977.71897445,0.8022061190952945,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,67.74148272136915,4460.755078448405,180.02104790665908,105.41083190307486
2017-10-12,4821.43,5439.99,4810.16,5430.0,1276.701482,6659759.29119366,8030,796.594719,4149667.59915114,12.62218885268478,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,77.37769234347725,4589.987734655284,240.8016961206804,132.48900474659598
2017-10-13,5439.99,5846.17,5379.84,5649.98,1879.82762,10597340.30104987,11663,878.638077,4945786.36371635,4.051197053406996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,79.73426842121364,4731.320036701246,303.22594533541724,166.63639286436023
2017-10-14,5650.0,5900.0,5580.01,5869.99,970.759046,5533972.4859947,6259,433.794904,2472775.20446234,3.8939960849418975,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,81.77867987421584,4883.142698474413,366.2289218388678,206.55489865926177
2017-10-15,5855.03,5922.3,5400.01,5709.99,1343.523375,7553650.20132813,7452,601.422361,3384776.70651666,-2.7257286639329914,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,75.79065079871992,4993.389005344492,398.6531464858581,244.97454822458104
2017-10-16,5710.0,5788.91,5585.19,5760.02,1528.996462,8701914.79553535,9153,719.218538,4096285.84717841,0.8761836710747373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,76.37321479594762,5095.606471298561,423.50468264534175,280.6805751087332
2017-10-17,5760.0,5774.98,5508.63,5595.0,1429.869376,8041662.31881055,9755,688.766779,3874630.11789208,-2.8649206079145673,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,70.35910188945164,5162.19227512542,424.985006614791,309.54146140994476
