date_utc,Open_price,High_price,Low_price,Close_price,Volume,Quote_volume,Nb_trades,Taker_buy_base_volume,Taker_buy_quote_volume,evolution_prct,0-6h,6-12h,12-18h,18-23h,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre
2023-09-12 12:00:00,26098.98,26567.0,25892.42,25903.04,17253.80369,451688795.6024199,331659,8283.31422,216882654.73843408,-0.7507953372908327,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-12 18:00:00,25903.04,26265.98,25790.0,25840.1,6937.95695,180466382.78016767,167923,3288.80103,85578466.0930208,-0.2429830629918417,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-13 00:00:00,25840.1,25985.91,25764.17,25900.01,5580.82726,144566459.1669966,123288,2789.38606,72257641.6693417,0.23184894795298394,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-13 06:00:00,25900.0,26247.79,25855.17,26198.41,8206.34034,213786155.8534182,198797,4343.18352,113135964.0491003,1.152123107288383,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-13 12:00:00,26198.41,26405.22,26016.22,26094.13,14240.64099,373248748.995648,282078,6592.13827,172796720.0738216,-0.3980394230031492,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-13 18:00:00,26094.13,26305.46,26055.0,26222.0,3583.01894,93836517.4526963,110717,1562.29253,40909455.8285012,0.4900335822654256,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-14 00:00:00,26222.0,26541.77,26126.77,26194.76,8804.84859,231456352.83229193,187111,4483.939,117883998.8836001,-0.1038822362901426,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-14 06:00:00,26194.77,26489.5,26183.95,26446.15,6314.3905,166249667.1691223,141045,3325.39641,87544378.58361,0.9596957559451003,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-14 12:00:00,26446.15,26798.5,26342.08,26645.63,17348.43842,461384222.96692175,316293,8798.68444,234002561.00556713,0.7542874860801962,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-14 18:00:00,26645.63,26860.49,26473.0,26522.73,5865.49499,156177076.8046866,154829,2832.43482,75432855.9056122,-0.46123885980553503,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-15 00:00:00,26522.73,26655.84,26448.19,26588.99,4216.46081,112015337.416301,122400,2099.73756,55784618.370257,0.24982345331721056,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-15 06:00:00,26588.98,26690.0,26375.01,26425.16,6430.54269,170847494.5962407,150804,2897.45027,76991590.6263158,-0.6161572891636768,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-15 12:00:00,26425.17,26526.99,26224.0,26338.5,8301.35361,218816192.0890342,197009,3881.13875,102304435.5063993,-0.3279450342022483,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-15 18:00:00,26338.51,26888.0,26331.97,26600.0,7278.93658,193524233.8988686,183881,3722.06457,98965286.2637491,0.992843176338809,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-16 00:00:00,26599.99,26777.0,26515.0,26537.76,5024.58014,133814263.3279784,156915,2362.47752,62923476.2639514,-0.23398496240601974,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-16 06:00:00,26537.76,26581.98,26445.0,26524.09,3632.56107,96295933.0554351,137990,1685.5099,44682360.3499412,-0.05151150662301429,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-16 12:00:00,26524.08,26622.22,26481.87,26566.98,3296.17648,87467000.4218302,136963,1552.32345,41192680.89706,0.16170206027803502,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-16 18:00:00,26566.98,26622.15,26505.4,26559.67,2007.61582,53312669.6540298,94548,908.60265,24128263.8778897,-0.02751535929187421,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-17 00:00:00,26559.67,26570.0,26416.16,26543.79,3451.71018,91477333.9823523,122839,1644.02659,43570116.6123044,-0.05978989949798619,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-17 06:00:00,26543.79,26623.25,26490.88,26566.67,3137.77082,83331655.5513017,110043,1655.55488,43967832.0082322,0.08619718585778369,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-17 12:00:00,26566.68,26600.0,26480.0,26480.0,3348.93755,88885855.832819,131153,1614.42902,42853547.3969033,-0.32623584363413727,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-17 18:00:00,26480.01,26534.09,26399.0,26527.51,3059.68422,81008882.1936341,112740,1445.8841,38284083.9990231,0.17941842900301985,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-18 00:00:00,26527.5,26750.0,26377.35,26647.45,6442.08445,171250105.762908,171987,3164.69751,84135842.5894854,0.4521344068855404,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
